Removed Pin From Net: NetName=NetC14_1 Pin=J3-1
Removed Pin From Net: NetName=GND Pin=J3-2
Removed Pin From Net: NetName=GND Pin=J3-3
Removed Pin From Net: NetName=NetC4_1 Pin=R6-1
Removed Pin From Net: NetName=Vref Pin=R25-1
Removed Pin From Net: NetName=Amplifier IN-Audio Pin=R25-3
Removed Pin From Net: NetName=Amplifier IN-Mic Pin=U2-1
Removed Pin From Net: NetName=Amplifier IN-Mic Pin=U2-2
Removed Pin From Net: NetName=NetR5_1 Pin=U3-1
Removed Pin From Net: NetName=NetR5_1 Pin=U3-2
Removed Pin From Net: NetName=NetC7_2 Pin=U3-3
Removed Pin From Net: NetName=Amplifier IN-Audio Pin=U7-7
Removed Pin From Net: NetName=NetC15_1 Pin=U8-8
Change Component Footprint: Designator=J3 Old Footprint=CUI_MJ-3502N New Footprint=CUI_SJ2-3574A-SMT-TR
Change Component Footprint: Designator=R25 Old Footprint=FP-3296W-MFG New Footprint=FP-CF18-MFG
Change Component Comment : Designator=R25 Old Comment=3296W-1-103LF New Comment=CF18JT10K0
Change Component Comment : Designator=J3 Old Comment=Speaker-OUT New Comment=SJ2-3574A-SMT-TR
Change Component Designator: OldDesignator=R27 NewDesignator=R35
Change Component Designator: OldDesignator=R28 NewDesignator=R36
Change Component Designator: OldDesignator=R29 NewDesignator=R37
Change Component Designator: OldDesignator=R30 NewDesignator=R38
Change Component Designator: OldDesignator=U2 NewDesignator=U3
Change Component Designator: OldDesignator=U3 NewDesignator=U2
Change Managed Component Library Link : Designator=R25 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9CC99A9C-0E41-4CBF-A7EA-3361F1ADF078 New ItemGUID=BC08C33D-CB15-43BD-82C1-FB5E03A949C2 Old RevisionGUID=8F8C300F-8FA2-4208-9E10-4862A509221A New RevisionGUID=338F15C8-488B-4878-976E-509FD792CAA9
Change component parameters: Designator = "J3" ("J3"); Footprint = "CUI_MJ-3502N"; UniqueID = "\MFPKUTYW" ("\MFPKUTYW")
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "XH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (AC)"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wire/Cable Gauge"; Value = "22AWG"; VariantName = "[No Variations]"
Added Component: Designator=U9(P0008A)
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "70"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MS-001"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/ne5532.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpdi001b"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SLOS075I"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Pb-Free (RoHS)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "IIB(Max)(pA)"; Value = "800000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "8-Pin Plastic In-Line, Body 9.59 x 6.35 mm, Pitch 2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "P0008A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4040082/E, 04/2010"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "NE5532P"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "9"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sub Family"; Value = "General Purpose Amplifier, High Supply Voltage Amplifier (>=30V), Low Noise Amp (<=10nV/rtHz)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vio (25C)(Max)(mV)"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vn at 1kHz(Typ)(nV/rtHz)"; Value = "5"; VariantName = "[No Variations]"
Added Pin To Net: NetName=Amplifier IN-Mic Pin=C4-2
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=Comparator IN Pin=C18-2
Added Pin To Net: NetName=Comparator IN Pin=D6-1
Added Pin To Net: NetName=Speaker IN Pin=Final Amp-1
Added Pin To Net: NetName=NetC15_1 Pin=Final Amp-2
Added Pin To Net: NetName=Amplifier IN-Audio Pin=J2-1
Added Pin To Net: NetName=GND Pin=PIR1-3
Added Pin To Net: NetName=Amplifier IN-Mic Pin=R9-2
Added Pin To Net: NetName=Vref Pin=R31-2
Added Pin To Net: NetName=Comparator IN Pin=R32-1
Added Pin To Net: NetName=GND Pin=R32-2
Added Pin To Net: NetName=Vref Pin=R33-2
Added Pin To Net: NetName=NetC14_1 Pin=Speaker-1
Added Pin To Net: NetName=GND Pin=Speaker-2
Added Pin To Net: NetName=NetC4_1 Pin=U2-1
Added Pin To Net: NetName=NetC4_1 Pin=U2-2
Added Pin To Net: NetName=NetR5_1 Pin=U3-1
Added Pin To Net: NetName=NetR5_1 Pin=U3-2
Added Pin To Net: NetName=NetC7_2 Pin=U3-3
Added Pin To Net: NetName=Peak detector IN Pin=U7-3
Added Pin To Net: NetName=GND Pin=U9-4
Added Pin To Net: NetName=+12 Pin=U9-8
Change Net Name : Old Net Name=NetR28_1 New Net Name=NetR36_1
Added Pin To Net: NetName=NetD4_1 Pin=D4-1
Added Pin To Net: NetName=NetD4_1 Pin=R25-2
Added Pin To Net: NetName=NetD4_1 Pin=R28-1
Added Pin To Net: NetName=NetD4_1 Pin=U9-6
Added Net: Name=NetD4_1
Added Pin To Net: NetName=NetD4_2 Pin=D4-2
Added Pin To Net: NetName=NetD4_2 Pin=D5-1
Added Pin To Net: NetName=NetD4_2 Pin=U9-7
Added Net: Name=NetD4_2
Added Pin To Net: NetName=NetD5_2 Pin=D5-2
Added Pin To Net: NetName=NetD5_2 Pin=R25-1
Added Pin To Net: NetName=NetD5_2 Pin=R29-2
Added Net: Name=NetD5_2
Added Pin To Net: NetName=NetD6_2 Pin=D6-2
Added Pin To Net: NetName=NetD6_2 Pin=R30-1
Added Net: Name=NetD6_2
Added Pin To Net: NetName=NetPIR1_1 Pin=PIR1-1
Added Pin To Net: NetName=NetPIR1_1 Pin=U7-1
Added Pin To Net: NetName=NetPIR1_1 Pin=U7-5
Added Net: Name=NetPIR1_1
Added Pin To Net: NetName=NetPIR1_2 Pin=PIR1-2
Added Pin To Net: NetName=NetPIR1_2 Pin=U7-2
Added Net: Name=NetPIR1_2
Added Pin To Net: NetName=NetR6_1 Pin=R6-1
Added Pin To Net: NetName=NetR6_1 Pin=U2-3
Added Pin To Net: NetName=NetR6_1 Pin=U3-5
Added Net: Name=NetR6_1
Added Pin To Net: NetName=NetR27_1 Pin=R27-1
Added Pin To Net: NetName=NetR27_1 Pin=R30-2
Added Pin To Net: NetName=NetR27_1 Pin=U9-1
Added Net: Name=NetR27_1
Added Pin To Net: NetName=NetR27_2 Pin=R27-2
Added Pin To Net: NetName=NetR27_2 Pin=R29-1
Added Pin To Net: NetName=NetR27_2 Pin=R34-1
Added Pin To Net: NetName=NetR27_2 Pin=U9-2
Added Net: Name=NetR27_2
Added Pin To Net: NetName=NetR28_2 Pin=R28-2
Added Pin To Net: NetName=NetR28_2 Pin=R34-2
Added Pin To Net: NetName=NetR28_2 Pin=U7-6
Added Pin To Net: NetName=NetR28_2 Pin=U7-7
Added Net: Name=NetR28_2
Added Pin To Net: NetName=NetR31_1 Pin=R31-1
Added Pin To Net: NetName=NetR31_1 Pin=U9-5
Added Net: Name=NetR31_1
Added Pin To Net: NetName=NetR33_1 Pin=R33-1
Added Pin To Net: NetName=NetR33_1 Pin=U9-3
Added Net: Name=NetR33_1
Added Member To Class: ClassName=Analog Member=Component C18 100uF
Added Member To Class: ClassName=Analog Member=Component D4 1N4148
Added Member To Class: ClassName=Analog Member=Component D5 1N4148
Added Member To Class: ClassName=Analog Member=Component D6 1N4148
Added Member To Class: ClassName=Analog Member=Component Final Amp B2B-XH-A(LF)(SN)
Added Member To Class: ClassName=Analog Member=Component J4 SJ2-3574A-SMT-TR
Added Member To Class: ClassName=Analog Member=Component PIR1 PIR2
Added Member To Class: ClassName=Analog Member=Component R31 CF18JT10K0
Added Member To Class: ClassName=Analog Member=Component R32 CF18JT10K0
Added Member To Class: ClassName=Analog Member=Component R33 CF18JT10K0
Added Member To Class: ClassName=Analog Member=Component R34 CF18JT10K0
Added Member To Class: ClassName=Analog Member=Component R35 CF18JT10K0
Added Member To Class: ClassName=Analog Member=Component R36 CF18JT10K0
Added Member To Class: ClassName=Analog Member=Component R37 CF18JT10K0
Added Member To Class: ClassName=Analog Member=Component R38 CF18JT10K0
Added Member To Class: ClassName=Analog Member=Component Speaker B2B-XH-A(LF)(SN)
Added Member To Class: ClassName=Analog Member=Component U3 NE5532P
Added Member To Class: ClassName=Analog Member=Component U9 NE5532P
